市場・商品区分,Model_MAE,Group_Baseline_MAE,Target_Std,Target_Mean,Count,MAE_Improvement,Relative_Improvement,Group_Type,33業種区分,規模区分
0.0,0.05013095348804713,0.04985933989678039,0.08672210836859735,0.0015566947636451369,90330,-0.00027161359126674084,-0.005447597016507633,市場・商品区分,,
1.0,0.033499902423249364,0.03357652627509071,0.06247326018197245,0.0028646618546164693,240494,7.662385184134535e-05,0.002282066084310514,市場・商品区分,,
2.0,0.03757961019860481,0.037552790784734086,0.05703528580491906,0.005447356686980365,241655,-2.6819413870726727e-05,-0.0007141789813829049,市場・商品区分,,
,0.032893782403569716,0.03305438992153321,0.06546856323613862,0.004461339822227174,16060,0.00016060751796349165,0.004858886167457723,33業種区分,0.0,
,0.032090258662654185,0.03206135020056865,0.050092092711572715,0.0023611768088294648,6035,-2.89084620855376e-05,-0.0009016607817416521,33業種区分,1.0,
,0.04474636992494304,0.04453831300511886,0.06809452739215181,0.00552147847430123,7644,-0.00020805691982418023,-0.004671414469611094,33業種区分,2.0,
,0.03262863048741142,0.032231407620576684,0.04512198703486635,0.005798761498845221,2496,-0.00039722286683473856,-0.012324093055779221,33業種区分,3.0,
,0.03412281777259244,0.034103916984983544,0.06566717214436346,0.0012218728802330817,81926,-1.890078760889702e-05,-0.0005542116354909999,33業種区分,4.0,
,0.029196784579862432,0.02930451767485454,0.04673426042686543,0.004815558487018074,3744,0.00010773309499210668,0.0036763305981503906,33業種区分,5.0,
,0.03147633163639002,0.03145107037341735,0.04940025474154461,0.0012707175897280502,20124,-2.5261262972670062e-05,-0.000803192472394232,33業種区分,6.0,
,0.035601858401293235,0.03539885673137566,0.046782324347619524,0.002579162031091859,2184,-0.00020300166991757407,-0.005734695655796256,33業種区分,7.0,
,0.027054129604139502,0.02727061981196139,0.03676703275986333,0.003048385910159879,4828,0.0002164902078218879,0.007938587729749045,33業種区分,8.0,
,0.040185363975504096,0.04009471592650525,0.0648737238044941,0.006869287558349652,31137,-9.064804899884538e-05,-0.002260847767696018,33業種区分,9.0,
,0.04920160707676123,0.04870313578632407,0.07898477643391598,-1.435652085276657e-05,12118,-0.0004984712904371608,-0.010234891088411855,33業種区分,10.0,
,0.0315844073314651,0.03158045075804043,0.05345072726473539,0.004056717147350193,43552,-3.956573424668264e-06,-0.00012528552727072504,33業種区分,11.0,
,0.028457583179628876,0.02828762414859625,0.046783857011461705,0.0015298195292622139,50135,-0.00016995903103262516,-0.0060082469329987625,33業種区分,12.0,
,0.03703855834780264,0.03671681607145036,0.05380267560127005,0.002091274803472326,21837,-0.0003217422763522812,-0.008762804370786826,33業種区分,13.0,
,0.041746047854805846,0.0416802565009557,0.07125898768746736,0.0008102496883598238,92540,-6.579135385014617e-05,-0.001578477662406843,33業種区分,14.0,
,0.04675312495543869,0.04666375312381717,0.07585923239507723,0.006988544361556171,32170,-8.937183162151946e-05,-0.0019152302512912126,33業種区分,15.0,
,0.02297825912617036,0.02292645711075924,0.03377623537023523,-0.0013929473529599955,1872,-5.1802015411120395e-05,-0.002259486285249457,33業種区分,16.0,
,0.04288102043088555,0.04235935771383703,0.07034534171590416,0.0106646794090342,1716,-0.0005216627170485169,-0.012315170606992266,33業種区分,17.0,
,0.03653904531089609,0.0366479864912893,0.056174419919676345,0.005655343187253844,1404,0.0001089411803932086,0.0029726375395576605,33業種区分,18.0,
,0.023655414006134398,0.022993253687649005,0.034878617995050445,0.000981409248132902,855,-0.0006621603184853928,-0.02879802604192016,33業種区分,19.0,
,0.05558897058927713,0.05545747745775656,0.09677679115268324,0.011267593218472743,8112,-0.00013149313152056863,-0.0023710622543322577,33業種区分,20.0,
,0.03362543345742313,0.03379090079093243,0.0682121490630755,0.00387105630107394,7466,0.00016546733350929904,0.004896801494966394,33業種区分,21.0,
,0.03333070401259962,0.03306822937404094,0.051507797294232424,0.004674443649176981,5730,-0.0002624746385586768,-0.007937365971119196,33業種区分,22.0,
,0.04040617362688624,0.040352776983675044,0.06352488387314721,0.0033583514635210075,12636,-5.3396643211196804e-05,-0.0013232458136102686,33業種区分,23.0,
