Date,IC
2026-01-05,0.1378015698272759
2026-01-06,0.17858240885293442
2026-01-07,0.18306266571658963
2026-01-08,0.2936734292833848
2026-01-09,0.23443947637576965
2026-01-13,0.05317004727716938
2026-01-14,0.025385981489161148
2026-01-15,0.08237773002563067
2026-01-16,-0.019847621842524196
2026-01-19,-0.15881591785693902
2026-01-20,0.02229450161741368
2026-01-21,-0.057350347786969826
2026-01-22,-0.02294999398658353
2026-01-23,-0.06559431628637845
2026-01-26,-0.009905098855012857
2026-01-27,0.12825999466853066
2026-01-28,0.2737998973369249
2026-01-29,0.21637208193357574
2026-01-30,0.18656159010791212
2026-02-02,0.28799287497272236
2026-02-03,0.16133067253955818
2026-02-04,0.1522616468131606
2026-02-05,0.13001889093315705
2026-02-06,0.06628864969783438
2026-02-09,0.02759172281669043
2026-02-10,0.0630184307167043
2026-02-12,0.011542167902768416
2026-02-13,0.10479221712288883
2026-02-16,0.05104576500098032
2026-02-17,0.047272066269390144
2026-02-18,0.0659140465757716
2026-02-19,0.12097308900506383
2026-02-20,0.09482686978942462
2026-02-24,0.032773366437790524
2026-02-25,-0.2343777416416438
2026-02-26,-0.16539210340451121
2026-02-27,-0.1922980385351883
2026-03-02,-0.3281777825469401
2026-03-03,-0.20651876753570025
2026-03-04,0.1641059903155776
2026-03-05,-0.22002660926611553
2026-03-06,-0.25252651925377506
2026-03-09,0.12468919804609767
2026-03-10,-0.18665374120002298
2026-03-11,-0.04776499248282173
2026-03-12,-0.14556354194013124
2026-03-13,-0.319668098283584
2026-03-16,-0.14939440912068985
2026-03-17,0.011881238567224138
2026-03-18,-0.2327310703768838
2026-03-19,-0.0037632553736793375
2026-03-23,0.1331849859721308
2026-03-24,-0.17840939911652712
2026-03-25,-0.04640456045163102
2026-03-26,-0.07363409528618457
2026-03-27,-0.047192049845690136
2026-03-30,0.11168106913337014
2026-03-31,0.22743831064606962
2026-04-01,0.1837199240284199
2026-04-02,0.30388145789632176
2026-04-03,0.27572504530713615
2026-04-06,0.26180010645532903
2026-04-07,0.3103601787602983
2026-04-08,0.049743180868194875
2026-04-09,0.13283559017529006
2026-04-10,0.015396231169910308
2026-04-13,0.014946036762189235
2026-04-14,-0.08479208161285778
2026-04-15,-0.07442930263532557
2026-04-16,-0.14415034263128473
2026-04-17,-0.05046198683467078
2026-04-20,-0.03407649609638144
2026-04-21,0.10955290010357419
2026-04-22,0.1576308812611202
2026-04-23,0.14510408435795638
2026-04-24,0.22095177296886237
2026-04-27,0.21930095724890072
2026-04-28,0.12794176096880636
2026-04-30,0.1148751968694197
2026-05-01,0.12319935905686936
2026-05-07,-0.019482045459136756
2026-05-08,0.06129422399747052
2026-05-11,-0.003883713642344076
2026-05-12,-0.013441624695881083
2026-05-13,-0.07491535723448098
2026-05-14,-0.05648984534359576
2026-05-15,-0.004674257718888271
2026-05-18,0.06468997699967251
2026-05-19,0.18544851092342
2026-05-20,0.22400681518215074
2026-05-21,0.11047675243336488
2026-05-22,0.07175343565537225
2026-05-25,-0.11542615936823455
2026-05-26,-0.12627886162150043
2026-05-27,-0.031349981428960005
2026-05-28,-0.03832897902543142
2026-05-29,-0.007446223389451351
2026-06-01,-0.052931055553084236
2026-06-02,0.0012001769799288731
2026-06-03,-0.1774058258815797
2026-06-04,-0.18806020025149275
2026-06-05,-0.16045183285167683
2026-06-08,0.10297036450744138
2026-06-09,0.05720996772635837
2026-06-10,0.33124989871903165
2026-06-11,0.3888759188209956
2026-06-12,0.24408020139301984
2026-06-15,0.1119552127155284
2026-06-16,0.006542815123843453
2026-06-17,-0.06290280670235583
2026-06-18,-0.06787903592034457
2026-06-19,-0.12244937214685109
2026-06-22,-0.12470232061815212
2026-06-23,-0.11796482321856672
2026-06-24,0.019460153315214838
2026-06-25,0.008055093823466607
2026-06-26,0.08198954091355384
2026-06-29,0.03194617837984247
2026-06-30,-0.05080197883018791
2026-07-01,-0.13087633647461774
2026-07-02,-0.26153955065718654
2026-07-03,-0.2220615398290608
2026-07-06,-0.2369753613789624
2026-07-07,-0.130603399844833
2026-07-08,0.19272653982280213
2026-07-09,0.00956036728975757
2026-07-10,-0.2394609844253604
2026-07-13,-0.07773139122733065
2026-07-14,-0.01845360138606841
2026-07-15,-0.062285557495168356
2026-07-16,-0.07169809264378948
2026-07-17,0.24101068350452864
2026-07-21,-0.22466896695179964
2026-07-22,-0.31357487164842185
2026-07-23,-0.29667013575479634
2026-07-24,-0.14097563953973918
2026-07-27,-0.10565592248330288
2026-07-28,0.3051030685248935
2026-07-29,0.5865111884763221
2026-07-30,0.43162306278780127
2026-07-31,0.18513490183231715
2026-08-03,0.18703204563963624
2026-08-04,0.1386451322713436
2026-08-05,0.12748379697128065
2026-08-06,0.06259133164548815
2026-08-07,0.1950599874165662
2026-08-10,0.10572462387509202
2026-08-12,-0.17104431847847873
2026-08-13,-0.20661501088139578
2026-08-14,-0.228450467240616
2026-08-17,-0.19328293524149515
2026-08-18,-0.1991136386419143
2026-08-19,0.17711548417506687
2026-08-20,0.14390495457298602
2026-08-21,0.15272367725510513
2026-08-24,0.1599307746579632
